pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate,lumclass,plx,e_plx,Teff,e_Teff
55 Cnc e,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,0.736547,1.7e-06,-1.7e-06,0,0.0,0.0,0.0,0,0.032,0.034,-0.022,0,0.0,0.0,0.0,0,2455201.9525,0.0073,-0.009,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=HARADA_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170..343H/abstract target=ref>Harada et al. 2025</a>,5292.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5.95084,0.023,-0.023,4.015,0.036,-0.036,2026-02-12,2025-12,2026-02-12,,nan,nan,nan,nan
AU Mic b,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.463,2e-06,-2e-06,0,4.07,0.17,-0.17,0,0.0,0.0,0.0,0,89.5,0.3,-0.3,0,2458330.39051,0.00015,-0.00015,0,1,0.18,0.11,-0.11,0,0.0,0.0,0.0,0,3.5,0.08,-0.08,0,19.1,0.3,-0.3,0,0.0496,0.0007,-0.0007,0,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,3700.0,100.0,-100.0,0,0.75,0.03,-0.03,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.81,0.1,-0.1,4.529,0.02,-0.02,2021-08-09,2021-05,2021-08-09,DWARF,102.829,0.0485613,nan,nan
AU Mic c,20h45m09.87s,311.2911369,-31d20m32.82s,-31.34245,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,18.85969,8e-05,-8e-05,0,2.52202066,0.24659758,-0.24659758,0,0.00338,0.00164,-0.00164,0,89.22655,0.21654,-0.21654,0,2458342.224,0.0019,-0.0018,0,1,0.3,0.13,-0.19,0,0.097,0.018,-0.017,0,4.236,0.029,-0.029,0,32.05,0.86,-1.0,0,0.0311,0.0028,-0.0028,0,<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>,3678.0,90.0,-88.0,0,0.744,0.023,-0.021,0,4.404,0.026,-0.031,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.81,0.1,-0.1,4.529,0.02,-0.02,2024-09-28,2023-12,2024-09-28,,nan,nan,nan,nan
BD+05 4868 A b,21h47m26.74s,326.8614036,+06d36m19.15s,6.6053185,1,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,1.271869,1e-06,-1e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2460556.2892,0.0003,-0.0003,0,0,0.0,0.0,0.0,0,1.4,0.6,-0.6,0,0.0,0.0,0.0,0,6.4,0.2,-0.2,0,0.0,0.0,0.0,0,<a refstr=HON_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250105431H/abstract target=ref>Hon et al. 2025</a>,4596.0,65.0,-64.0,0,0.69,0.02,-0.02,0,4.6,0.03,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.158,0.01,-0.01,7.448,0.026,-0.026,2025-03-21,2025-01,2025-03-21,N/A,23.4998,0.0783431,nan,nan
BD+20 594 b,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0,2.23,0.14,-0.11,0,0.0,0.0,0.0,0,89.55,0.17,-0.14,0,2457151.9021,0.0042,-0.0047,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,55.8,3.3,-3.3,0,0.02204,0.00058,-0.00057,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,5766.0,99.0,-99.0,0,0.928,0.055,-0.04,0,4.5,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.849,0.012,-0.012,9.368,0.018,-0.018,2018-04-25,2016-10,2016-07-28,DWARF,5.54366,0.0384779,5651.76,119.299
BD-14 3065 b,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,1,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,4.2889731,5.2e-06,-5.2e-06,0,21.59,1.05,-1.05,0,0.066,0.0098,-0.011,0,80.78,0.24,-0.3,0,2459313.48578,0.00076,-0.00076,0,0,0.9099,0.0092,-0.0079,0,0.649,0.023,-0.02,0,3.086,0.041,-0.041,0,6.01,0.12,-0.13,0,0.0843,0.0023,-0.0022,0,<a refstr=_SCARON_UBJAK_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240312311S/abstract target=ref>&Scaron;ubjak et al. 2024</a>,6935.0,90.0,-90.0,0,2.35,0.08,-0.08,0,3.85,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.1,0.013,-0.013,9.932,0.026,-0.026,2024-06-25,2024-03,2024-06-25,DWARF,1.66848,0.046156,6736.88,107.475
CoRoT-1 b,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.5089682,5e-07,-5e-07,0,19.223435,0.33627,-0.33627,0,0.036,0.0,0.0,1,85.1,0.5,-0.5,0,2454138.32807,6e-05,-6e-05,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6298.0,66.0,-66.0,0,1.23,0.02,-0.02,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.623,0.114,-0.114,12.149,0.027,-0.027,2019-03-18,2017-06,2019-03-21,DWARF,1.24176,0.0375126,6355.07,38.1212
CoRoT-10 b,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,1,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,13.2406,0.0002,-0.0002,0,10.87,0.78,-0.78,0,0.53,0.04,-0.04,0,88.55,0.2,-0.2,0,2454273.3436,0.0012,-0.0012,0,0,0.85,0.03,-0.03,0,1.61036,0.0978881,-0.0949999,0,2.98,0.06,-0.06,0,31.33,2.15,-2.15,0,0.1269,0.0038,-0.0038,0,<a refstr=BONOMO_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..65B/abstract target=ref> Bonomo et al. 2010 </a>,5075.0,75.0,-75.0,0,0.79,0.05,-0.05,0,4.65,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.293,0.137,-0.137,11.782,0.021,-0.021,2014-05-14,2010-09,2014-05-14,DWARF,2.92694,0.0345474,5025.0,155.0
CoRoT-11 b,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,0,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,2.994325,2.1e-05,-2.1e-05,0,15.58051,0.369897,-0.369897,0,0.0,0.0,0.0,0,83.41,0.17,-0.17,0,2454690.49838,0.00016,-0.00016,0,0,0.8108,0.0077,-0.0077,0,1.16,0.023,-0.023,0,2.44488,0.018,-0.018,0,7.062,0.122,-0.118,0,0.0,0.0,0.0,0,<a refstr=GANDOLFI_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...543L...5G/abstract target=ref>Gandolfi et al. 2012</a>,0.0,0.0,0.0,0,1.33,0.04,-0.04,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.897,0.114,-0.114,11.248,0.022,-0.022,2019-10-18,2012-07,2019-10-24,,nan,nan,nan,nan
CoRoT-12 b,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,2.82803914989,1.29551e-05,-1.29551e-05,0,17.76037065,1.2277269,-1.2277269,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2459203.486894,0.00376133,-0.00376133,0,0,0.0,0.0,0.0,0,2.88608258,0.17952656,-0.17952656,0,2.6215943,0.2396363,-0.2396363,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,5675.0,0.0,0.0,0,1.03674,0.0,0.0,0,4.37342,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.588,0.183,-0.183,13.557,0.042,-0.042,2022-08-08,2017-07,2022-08-08,,nan,nan,nan,nan
CoRoT-13 b,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.03519,3e-05,-3e-05,0,9.919965,0.156926,-0.156926,0,0.067,0.0,0.0,1,88.02,0.34,-0.36,0,2454790.8099,0.0006,-0.0006,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5945.0,90.0,-90.0,0,1.01,0.03,-0.03,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.005,0.297,-0.297,13.376,0.039,-0.039,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-14 b,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.51214,0.00013,-0.00013,0,12.21781,0.78463,-0.78463,0,0.036,0.0,0.0,1,79.6,0.8,-0.8,0,2454787.6702,0.0053,-0.0053,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6040.0,100.0,-100.0,0,1.21,0.08,-0.08,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.932,0.206,-0.206,13.806,0.053,-0.053,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-16 b,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5.35227,0.0002,-0.0002,0,13.11453,1.56926,-1.79344,0,0.37,0.11,-0.12,0,85.01,0.94,-1.2,0,2454923.9145,0.0022,-0.0022,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5650.0,100.0,-100.0,0,1.19,0.14,-0.13,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16.052,0.217,-0.217,12.847,0.037,-0.037,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-17 b,18h34m47.82s,278.699236,-06d36m44.24s,-6.612288,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.7681,0.0003,-0.0003,0,11.43318,0.78463,-0.78463,0,0.081,0.0,0.0,1,88.3,1.5,-1.5,0,2454923.31,0.0036,-0.0036,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5740.0,80.0,-80.0,0,1.59,0.07,-0.07,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16.29,0.32,-0.32,12.472,0.054,-0.054,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-18 b,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,0,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,1.9000769,2.1e-06,-2.2e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2459226.40927,0.00061,-0.00065,0,0,0.18,0.15,-0.11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.16,0.2,-0.28,0,0.1579,0.0042,-0.0046,0,<a refstr=HEBRARD_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...533A.130H/abstract target=ref> Hebrard et al. 2011 </a>,5440.0,100.0,-100.0,0,1.0,0.13,-0.13,0,4.4,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.868,0.172,-0.172,13.014,0.03,-0.03,2022-05-03,2022-05,2022-05-03,,nan,nan,nan,nan
CoRoT-19 b,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3.89713,2e-05,-2e-05,0,14.45961,0.33627,-0.33627,0,0.056,0.0,0.0,1,88.0,0.7,-0.7,0,2455257.4418,0.0006,-0.0006,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6090.0,70.0,-70.0,0,1.65,0.04,-0.04,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.135,0.149,-0.149,11.837,0.024,-0.024,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-2 b,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,1.74301433466,4.384931e-05,-4.384931e-05,0,16.92270968,1.7165856,-1.7165856,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2459771.551589,0.00035914,-0.00035914,0,1,0.0,0.0,0.0,0,3.22056971,0.03974328,-0.03974328,0,2.2872101,0.0264975,-0.0264975,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,5529.0,105.52,-105.52,0,0.937741,0.094638,-0.094638,0,4.48157,0.108347,-0.108347,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12.516,0.092,-0.092,10.31,0.031,-0.031,2022-10-03,2017-07,2022-10-03,,nan,nan,nan,nan
CoRoT-20 b,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,1,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>,9.24285,0.0003,-0.0003,0,0.0,0.0,0.0,0,0.59,0.02,-0.02,0,88.21,0.53,-0.53,0,2455266.0001,0.0014,-0.0014,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=REY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A.115R/abstract target=ref>Rey et al. 2018</a>,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.63,0.092,-0.092,12.513,0.029,-0.029,2018-07-18,2018-11,2018-07-19,,nan,nan,nan,nan
CoRoT-21 b,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,2.72474,0.00014,-0.00014,0,14.5717,1.56926,-1.56926,0,0.0,0.0,0.0,0,86.8,2.1,-2.1,0,2454399.0282,0.0009,-0.0009,0,0,0.25,0.17,-0.17,0,0.0,0.0,0.0,0,4.76,0.0,0.0,0,4.6,0.26,-0.26,0,0.067,0.0018,-0.0018,0,<a refstr=P_AUML_TZOLD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...545A...6P/abstract target=ref>P&auml;tzold et al. 2012</a>,6200.0,100.0,-100.0,0,1.95,0.21,-0.21,0,3.7,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16.058,0.435,-0.435,13.813,0.054,-0.054,2018-12-03,2012-09,2018-12-06,,nan,nan,nan,nan
CoRoT-22 b,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,1,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598,0.00011,-0.00011,0,4.88,0.17,-0.39,0,0.077,0.3,-0.042,0,89.749,0.032,-0.9,0,2454598.42014,0.00099,-0.00051,0,0,0.012,0.33,-0.033,0,0.0,0.0,0.0,0,4.492,0.039,-0.039,0,17.3,1.3,-0.57,0,0.03927,0.0006,-0.00037,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,5939.0,54.0,-120.0,0,1.136,0.038,-0.09,0,4.361,0.065,-0.029,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.82,0.114,-0.114,11.988,0.026,-0.026,2014-08-21,2014-08,2014-08-21,,nan,nan,nan,nan
CoRoT-23 b,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,3.6313,0.0001,-0.0001,0,11.77,1.46,-1.46,0,0.16,0.02,-0.02,0,85.7,2.6,-1.5,0,2455308.939,0.001,-0.001,0,0,0.56,0.1,-0.23,0,0.0,0.0,0.0,0,3.888,0.054,-0.054,0,6.85,0.6,-0.6,0,0.0671,0.001,-0.001,0,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,5900.0,100.0,-100.0,0,1.61,0.18,-0.18,0,4.3,0.2,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.675,0.206,-0.206,12.364,0.032,-0.032,2014-05-14,2012-01,2014-05-14,,nan,nan,nan,nan
CoRoT-24 b,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,1,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,5.1134,0.0006,-0.0006,0,3.7,0.4,-0.4,0,0.0,0.0,0.0,0,86.5,2.0,-2.0,0,2454789.611,0.006,-0.006,0,0,0.65,0.3,-0.3,0,0.0,0.0,0.0,0,2.85,0.25,-0.25,0,10.9,2.8,-2.8,0,0.037,0.0021,-0.0021,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,4950.0,150.0,-150.0,0,0.86,0.09,-0.09,0,4.55,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.383,0.114,-0.114,12.924,0.024,-0.024,2018-06-06,2014-07,2018-05-31,,nan,nan,nan,nan
CoRoT-24 c,06h47m41.41s,101.922543,-03d43m09.44s,-3.7192892,1,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,11.759,0.0063,-0.0063,0,5.0,0.5,-0.5,0,0.0,0.0,0.0,0,89.0,1.0,-1.6,0,2454795.3803,0.0265,-0.0265,0,0,0.3,0.4,-0.4,0,0.0,0.0,0.0,0,4.8,0.2,-0.2,0,18.0,2.5,-2.5,0,0.05,0.001,-0.001,0,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>,4950.0,150.0,-150.0,0,0.86,0.09,-0.09,0,4.55,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.383,0.114,-0.114,12.924,0.024,-0.024,2014-06-11,2014-07,2014-06-11,,nan,nan,nan,nan
CoRoT-25 b,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.86069,6e-05,-6e-05,0,12.10572,3.3627,-1.1209,0,0.22,0.0,0.0,1,84.5,0.8,-0.3,0,2454576.2163,0.0008,-0.0008,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6040.0,90.0,-90.0,0,1.19,0.14,-0.03,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.79,0.172,-0.172,12.846,0.031,-0.031,2019-03-18,2017-06,2019-03-21,,nan,nan,nan,nan
CoRoT-26 b,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.20474,5e-05,-5e-05,0,14.12,1.46,-0.78,0,0.0,0.0,0.0,0,86.8,2.2,-1.0,0,2454573.6299,0.0008,-0.0008,0,0,0.33,0.08,-0.23,0,0.0,0.0,0.0,0,5.47,0.06,-0.04,0,6.28,0.01,-0.52,0,0.0718,0.001,-0.001,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,5590.0,100.0,-100.0,0,1.79,0.18,-0.09,0,3.99,0.05,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15.861,0.195,-0.195,13.261,0.034,-0.034,2014-05-14,2013-07,2014-05-14,,nan,nan,nan,nan
