pl_name,rastr,ra,decstr,dec,default_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate,lumclass,plx,e_plx,Teff,e_Teff
HIP 41378 b,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,1,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,15.57208,2e-05,-2e-05,0,2.595,0.036,-0.036,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2457152.2818,0.0012,-0.0012,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,6320.0,60.0,-30.0,0,1.273,0.015,-0.015,0,4.294,0.006,-0.006,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.93,0.03,-0.03,7.722,0.031,-0.031,2025-09-17,2025-06,2025-09-17,,nan,nan,nan,nan
HIP 41378 c,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,31.71802083162,0.00012969133,-0.00012969133,0,2.29980485,3.6733382,-3.6733382,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2458494.909195,0.00338789,-0.00338789,0,1,0.0,0.0,0.0,0,0.0292865,0.00391296,-0.00391296,0,2.3326321,0.838543,-0.838543,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,6352.33,149.65,-149.65,0,1.30883,0.070123,-0.070123,0,4.30502,0.095541,-0.095541,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.93,0.03,-0.03,7.722,0.031,-0.031,2024-12-10,2017-07,2024-12-10,,nan,nan,nan,nan
HIP 41378 d,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..10V/abstract target=ref>Vanderburg et al. 2016</a>,156.0,163.0,-78.0,0,3.96,0.59,-0.59,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2457166.2629,0.0016,-0.0016,0,0,0.5,0.27,-0.27,0,0.0,0.0,0.0,0,12.71,0.26,-0.26,0,0.0,0.0,0.0,0,0.0259,0.0015,-0.0015,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..10V/abstract target=ref>Vanderburg et al. 2016</a>,6199.0,50.0,-50.0,0,1.4,0.19,-0.19,0,4.18,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.93,0.03,-0.03,7.722,0.031,-0.031,2019-06-03,2016-08,2016-07-07,,nan,nan,nan,nan
HIP 41378 e,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,1,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,369.0,10.0,-10.0,0,4.92,0.09,-0.09,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2457142.0194,0.001,-0.001,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=HOWARD_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025ApJS..278...52H/abstract target=ref>Howard et al. 2025</a>,6320.0,60.0,-30.0,0,1.273,0.015,-0.015,0,4.294,0.006,-0.006,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.93,0.03,-0.03,7.722,0.031,-0.031,2025-09-17,2025-06,2025-09-17,,nan,nan,nan,nan
HIP 41378 f,08h26m27.80s,126.6158279,+10d04m49.33s,10.0803708,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..10V/abstract target=ref>Vanderburg et al. 2016</a>,324.0,121.0,-126.0,0,10.2,1.4,-1.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2457186.91451,0.00032,-0.00032,0,0,0.227,0.089,-0.089,0,0.0,0.0,0.0,0,18.998,0.051,-0.051,0,0.0,0.0,0.0,0,0.0672,0.0013,-0.0013,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...827L..10V/abstract target=ref>Vanderburg et al. 2016</a>,6199.0,50.0,-50.0,0,1.4,0.19,-0.19,0,4.18,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.93,0.03,-0.03,7.722,0.031,-0.031,2019-06-03,2016-08,2016-07-07,,nan,nan,nan,nan
HIP 65 A b,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,0.980972,5e-07,-5e-07,0,5.91629233,0.7808294,-0.7808294,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2460205.646862,0.000584,-0.000584,0,0,0.0,0.0,0.0,0,0.61783924,0.00602354,-0.00602354,0,0.5405036,0.0262389,-0.0262389,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,4486.0,175.0,-175.0,0,0.764401,0.062819,-0.062819,0,4.49914,0.338797,-0.338797,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11.0,0.03,-0.03,8.29,0.025,-0.025,2023-12-04,2017-07,2023-12-04,,nan,nan,nan,nan
HIP 67522 b,13h50m06.24s,207.526001,-40d50m09.23s,-40.8358961,0,<a refstr=HEITZMANN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...922L...1H/abstract target=ref>Heitzmann et al. 2021</a>,6.959471,3e-06,-3e-06,0,10.178,0.44,-0.44,0,0.0,0.0,0.0,0,89.23,0.37,-0.47,0,2458604.023722,0.00024,-0.00023,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11.685,0.112,-0.22,0,0.067471,0.00019,-0.00017,0,<a refstr=HEITZMANN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...922L...1H/abstract target=ref>Heitzmann et al. 2021</a>,5675.0,75.0,-75.0,0,0.0,0.0,0.0,0,4.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.79,0.03,-0.03,8.164,0.026,-0.026,2025-11-13,2021-11,2025-11-13,,nan,nan,nan,nan
HIP 67522 c,13h50m06.24s,207.526001,-40d50m09.23s,-40.8358961,1,<a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..30B/abstract target=ref>Barber et al. 2024</a>,14.334892,1.2e-05,-1.2e-05,0,7.93595834,0.3474784,-0.35868738,0,0.077,0.195,-0.056,0,89.2,1.75,-0.64,0,2458602.50256,0.00091,-0.00093,0,0,0.26,0.2,-0.58,0,0.0,0.0,0.0,0,5.66,0.94,-0.77,0,19.14,0.63,-0.81,0,0.0528,0.0023,-0.0024,0,<a refstr=BARBER_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...973L..30B/abstract target=ref>Barber et al. 2024</a>,5675.0,75.0,-75.0,0,1.38,0.06,-0.06,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.79,0.03,-0.03,8.164,0.026,-0.026,2024-09-28,2024-09,2024-09-28,,nan,nan,nan,nan
HIP 8152 b,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,0,<a refstr=AKANA_MURPHY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..153A/abstract target=ref>Akana Murphy et al. 2023</a>,10.75101,6e-05,-6e-05,0,2.56,0.19,-0.19,0,0.14,0.0,0.0,1,0.0,0.0,0.0,0,2458758.62,0.002,-0.002,0,0,0.67,0.07,-0.07,0,0.0,0.0,0.0,0,2.9,0.1,-0.1,0,20.9,1.0,-1.0,0,0.025,0.001,-0.001,0,<a refstr=AKANA_MURPHY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..153A/abstract target=ref>Akana Murphy et al. 2023</a>,5530.0,110.0,-110.0,0,0.95,0.04,-0.04,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.07,0.03,-0.03,8.449,0.021,-0.021,2024-07-12,2023-10,2024-07-12,,nan,nan,nan,nan
HIP 8152 c,01h44m50.22s,26.2092533,-18d24m04.98s,-18.4013844,1,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,19.60562,0.00025,-0.00025,0,2.52442508,0.14962921,-0.14078921,0,0.2,0.1,-0.1,0,0.0,0.0,0.0,0,2458398.2869,0.0064,-0.0064,0,0,0.396637,0.236802,-0.273522,0,0.0,0.0,0.0,0,4.383408,0.2664371,-0.2130072,0,0.0,0.0,0.0,0,0.02410048,0.00135937,-0.00128019,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,5618.0,74.0,-73.0,0,0.9603,0.0175,-0.0163,0,4.443,0.024,-0.024,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.07,0.03,-0.03,8.449,0.021,-0.021,2024-07-23,2024-06,2024-07-23,,nan,nan,nan,nan
HIP 94235 b,19h10m57.87s,287.7411441,-60d16m21.49s,-60.2726358,0,<a refstr=MANTOVAN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2311M/abstract target=ref>Mantovan et al. 2022</a>,7.712121,0.0,0.0,0,3.207,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,5985.43,112.69,-126.8,0,1.08958,0.045025,-0.051458,0,4.40494,0.060876,-0.090172,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,8.31,0.03,-0.03,6.881,0.027,-0.027,2022-10-03,2022-11,2022-10-03,,nan,nan,nan,nan
HIP 9618 b,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,20.7724316,0.0002213,-0.0002213,0,3.91576,0.267684,-0.267684,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2460221.503439,0.0109289,-0.0109289,0,0,0.0,0.0,0.0,0,0.1415,0.0137608,-0.0137608,0,5.508,0.943,-0.943,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,5625.56,114.23,-114.23,0,0.97,0.04,-0.04,0,4.46798,0.074554,-0.074554,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.2,0.03,-0.03,7.559,0.021,-0.021,2023-12-14,2017-07,2023-12-14,,nan,nan,nan,nan
HIP 9618 c,02h03m37.20s,30.9050061,+21d16m52.78s,21.2813274,1,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,52.56363,0.00016,-0.00016,0,3.42855926,0.0971864,-0.08596176,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2458779.1904,0.0014,-0.0014,0,0,0.290877,0.205072,-0.195093,0,0.0,0.0,0.0,0,6.5715569,0.080794,-0.0649875,0,0.0,0.0,0.0,0,0.0327676,0.00071569,-0.00060561,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,5649.0,75.0,-71.0,0,0.9593,0.0173,-0.0163,0,4.445,0.025,-0.024,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.2,0.03,-0.03,7.559,0.021,-0.021,2024-07-22,2024-06,2024-07-22,,nan,nan,nan,nan
